Answerer_ID,Sum_Answerer_Score
"2901002","4163"
"10035985","2329"
"15239951","1836"
"16343464","1819"
"4238408","1708"
"15497888","1569"
"7964527","1442"
"12833166","1400"
"8708364","1343"
"14289892","1106"
"6622587","1105"
"15070697","1090"
"5577765","1058"
"1126841","1054"
"67579","1045"
"1883316","1025"
"1491895","1006"
"2390182","894"
"9840637","888"
"15438033","806"
"12046409","802"
"3832970","780"
"2988730","774"
"9136348","752"
"13138364","733"
"51685","727"
"9332187","716"
"9857631","684"
"6361531","669"
"4001592","661"
"7212686","642"
"5237560","615"
"1832058","599"
"1740577","579"
"901925","550"
"5014455","542"
"1863229","538"
"9441404","525"
"2288659","514"
"14165730","506"
"5424988","504"
"3799759","499"
"9444073","488"
"4983450","478"
"5349916","477"
"10785975","476"
"7758804","473"
"7175713","470"
"4333359","466"
"5459839","456"
"6660638","456"
"4755954","453"
"364696","438"
"14991864","432"
"3485434","430"
"5431791","429"
"415016","412"
"7326738","410"
"4785185","402"
"13552470","401"
"5317403","398"
"12939557","392"
"7432","391"
"13131047","388"
"235698","378"
"9167382","373"
"8986975","371"
"6331369","371"
"11043825","366"
"4834","363"
"5820814","344"
"3545273","341"
"2001654","332"
"2823719","323"
"11380795","315"
"2011147","312"
"5147259","311"
"11450820","311"
"16759116","310"
"3437787","310"
"355230","308"
"6106791","307"
"14222251","301"
"13107804","300"
"3874623","300"
"11106801","297"
"843953","291"
"6792743","287"
"2357112","284"
"9997212","266"
"6298712","266"
"642070","262"
"13382000","261"
"2308683","255"
"225020","254"
"758174","254"
"13944524","252"
"2648811","252"
"2296458","250"
"12416453","246"
"17242583","246"
"874188","244"
"2336654","243"
"13782669","243"
"15187728","240"
"4046632","240"
"4518341","240"
"5866580","240"
"13990016","239"
"12299000","237"
"11089932","237"
"11971785","236"
"7355741","235"
"2836621","235"
"10315163","232"
"9375102","230"
"2937831","228"
"9162000","226"
"476","224"
"3280538","224"
"1387346","222"
"9214357","221"
"9274732","221"
"5168011","221"
"2705542","221"
"9657861","219"
"565635","217"
"9473764","217"
"2773206","215"
"7093741","215"
"6241235","213"
"248823","211"
"6660373","208"
"548225","208"
"5320906","208"
"6045800","207"
"10237506","207"
"7254633","207"
"13605093","206"
"8228558","204"
"6890912","203"
"6699447","202"
"13873980","201"
"4541045","200"
"2063361","200"
"7976758","200"
"12258459","199"
"674039","199"
"4621513","197"
"12502959","197"
"4926757","195"
"1453822","194"
"13743233","191"
"9215780","190"
"10197418","189"
"6759844","185"
"548562","184"
"7752296","184"
"15452601","183"
"967621","182"
"10693596","180"
"5327068","180"
"2947378","179"
"12349734","179"
"12671057","176"
"3944322","175"
"2850026","174"
"7942856","169"
"21945","167"
"11329890","167"
"4390160","167"
"4718350","165"
"14531062","165"
"1405065","164"
"4354477","164"
"13746389","164"
"4679965","161"
"6793637","161"
"1386551","161"
"10987432","160"
"9067615","159"
"2668284","159"
"1931274","158"
"13843268","154"
"11936135","152"
"5946921","150"
"12730112","150"
"12446721","150"
