OwnerUserId,OwnerUserId,score
116,13396018,3
116,843953,2
377,10961342,1
459,459,0
2136,7093741,5
2136,12952263,2
2136,5019169,1
2312,6476044,1
2972,5480536,10
4177,54017,5
4243,2937831,2
4320,11089932,2
8478,7108589,2
9908,6622587,1
10335,10335,1
10468,5014455,11
10562,3799759,2
14420,14420,0
14860,14860,0
16609,2921914,1
17413,1030675,6
18573,8893827,1
18775,18775,0
18775,3000206,4
22996,10311158,1
22996,3832970,0
27290,2428887,2
27290,27290,1
27290,12081954,1
29505,904393,1
30105,12479639,1
33264,3840170,4
36061,989121,2
36061,36061,2
36590,7091492,1
38281,38281,0
38368,38368,0
38557,5359797,1
38557,15079407,3
41948,41948,0
45867,2166823,1
45867,2937831,2
46799,11989081,3
48956,3279603,3
49153,642070,2
49153,3141234,3
50003,3740545,1
50003,13802115,1
51167,1386551,1
51230,9014097,1
51230,10521739,1
51230,4755954,2
51292,4676641,1
52074,52074,0
52074,52074,0
52074,52074,0
52239,3125566,1
52499,641409,1
52917,15172599,2
53491,12502959,1
57752,1386551,1
66191,4177009,3
67566,7686560,2
69785,1185148,2
69785,69785,0
72178,72178,0
74865,2937831,7
75021,15187728,3
80353,80353,0
84592,84592,0
85128,85128,0
85461,1126841,3
85952,14165730,2
89766,3944322,2
89806,1397946,0
89904,3222797,2
89904,3222797,1
92153,92153,0
92153,8283848,3
92153,9014097,2
92153,92153,3
92153,13161155,0
92610,1985476,2
92610,901925,2
92610,92610,0
92610,803194,1
96588,96588,0
96588,96588,0
98214,1609514,1
98214,51685,2
98989,6622587,2
98989,6622587,2
99834,5014455,7
105844,2125671,0
107183,107183,2
107183,4637585,1
111327,2204326,0
111624,5237560,2
112976,7212686,1
116095,51685,2
116800,116800,0
119775,5085211,2
119775,5085211,2
120322,3888719,2
122933,5278549,1
123246,14165730,2
126970,4541045,5
127193,12000849,1
127251,2149586,1
127320,2745140,1
127606,874188,1
131433,5349916,1
131871,7976758,2
131929,4637585,1
135797,2836621,1
136598,136598,2
136598,136598,1
136598,136598,0
136598,136598,1
136750,240443,1
137650,13782669,2
138882,13746389,0
139150,21945,1
139150,2202018,1
139150,7758804,2
139150,12502959,5
139150,7631480,2
139150,9072753,4
139150,10785975,2
139150,962190,1
140100,2937831,1
140100,10886420,3
140185,8796826,1
146812,11764049,1
147356,2650249,2
148765,148765,0
149008,1170207,2
149154,12480730,4
149154,14683209,2
149900,149900,0
149900,149900,1
150015,10785975,2
154850,850848,1
154850,850848,3
155406,461847,2
155406,14222267,1
155420,7786148,10
155926,4583620,1
156957,7002486,2
156957,8986975,2
157971,4354477,2
159072,100297,2
159072,9019560,1
159072,100297,2
159072,1453822,2
159072,15517371,2
159072,2573309,2
159072,10794031,2
159072,4022580,1
159072,7212686,1
159072,9513184,2
159072,4785185,1
159072,1305969,1
159072,642070,1
159369,2375855,1
159710,1927609,1
160245,9540925,1
160878,15187728,1
165629,108205,1
169513,2357112,1
169947,10475762,1
171121,13782669,2
173922,1883316,2
176718,6245650,1
177415,177415,0
177415,5104338,1
182823,14637,1
184379,10953592,0
185297,6361531,2
185443,185443,0
189035,10413145,1
192204,461847,2
193210,193210,0
194813,2336654,2
195504,7602551,3
195636,7810777,2
199166,188096,1
200160,2144390,0
200937,8868108,2
201657,14637,2
202807,7326738,2
202893,2308683,1
205014,11816733,1
205270,5972175,1
205521,5769463,2
207425,8905909,1
210173,5561472,1
211388,1600898,1
211404,211404,0
211452,211452,0
212149,15070697,5
212378,1109017,1
214225,548562,1
216229,6361531,3
216229,2901002,1
216229,6660373,4
219028,11875359,1
220949,11598956,2
221270,13131320,2
221270,2901002,1
221342,2186599,1
223960,223960,6
226526,2800058,1
226773,4393277,3
229686,5349916,1
232416,14170672,1
235310,5225301,2
237681,9350720,1
237681,14314380,6
237681,3403834,5
238849,13193478,1
239879,1611358,1
239938,239938,0
240443,240443,0
